"year","padded_population_of_researchers","number_of_inmigrations","number_of_outmigrations","region","incomelevel","gdp_per_capita","population","syn"
2008,235,24,15,"East Asia & Pacific","LMC",1718.91402182752,50648334,FALSE
1998,10,1,2,"Latin America & Caribbean","UMC",4720.16821801746,297226,FALSE
2018,21,1,3,"Latin America & Caribbean","UMC",8680.25110238522,170935,FALSE
2008,7043,296,246,"South Asia","LMC",993.503405266506,181924521,FALSE
2002,68,8,10,"East Asia & Pacific","HIC",16393.7437301859,47767,FALSE
2007,21,4,3,"East Asia & Pacific","UMC",10029.28802589,17816,FALSE
2010,8944,93,136,"Sub-Saharan Africa","LMC",1684.01177184608,25782029,FALSE
2020,4259,53,56,"Europe & Central Asia","UMC",7998.0802045456,9730146,FALSE
2007,85,5,1,"Sub-Saharan Africa","UMC",4394.51734135638,1186873,FALSE
2019,15,0,0,"East Asia & Pacific","LMC",1546.88176752726,118513,FALSE
2004,1291,74,52,"East Asia & Pacific","LMC",1119.98086164741,77958223,FALSE
2015,221,9,20,"Europe & Central Asia","HIC",62576.8016380509,446175,FALSE
2006,206,15,21,"Sub-Saharan Africa","LMC",721.769522542147,3331158,FALSE
2008,27983,613,524,"Latin America & Caribbean","HIC",9418.27492364213,10193998,FALSE
2014,122,2,0,"East Asia & Pacific","HIC",34609.7119829323,51368,FALSE
2019,10,0,1,"Latin America & Caribbean","HIC",25740.7702303087,42456,FALSE
2015,22299,804,917,"Europe & Central Asia","HIC",46903.7615854343,4623816,FALSE
2002,62522,2090,2555,"Europe & Central Asia","HIC",49335.7456291067,9923085,FALSE
2014,8627,60,78,"Latin America & Caribbean","UMC",8055.92586780018,4563127,FALSE
2014,6047,530,289,"Middle East & North Africa","HIC",23945.5123106892,6289000,FALSE
2017,470,33,25,"Sub-Saharan Africa","LIC",525.047284914011,24487611,FALSE
2016,846,78,52,"Sub-Saharan Africa","LIC",840.175746366299,17405624,FALSE
1998,284,12,12,"Sub-Saharan Africa","LIC",288.107877992222,26298773,FALSE
2004,138,10,14,"Europe & Central Asia","UMC",2533.56460606953,1819141,FALSE
